dimension,method,var_std,var_rmse,relative_efficiency
2,MC,0.00013342831540302097,0.000133618088007793,1.0
2,QMC-Sobol,1.7604236304973998e-05,2.0253083784063364e-05,7.579329946015403
3,MC,9.686100153306542e-05,0.00010255237636981147,1.0
3,QMC-Sobol,2.3320486178782915e-05,3.8150802198320025e-05,4.153472650205295
5,MC,9.670549812731044e-05,9.767101974114651e-05,1.0
5,QMC-Sobol,5.378153147370922e-05,6.986080366790565e-05,1.7981172249545245
10,MC,9.141043762077578e-05,0.00010121542643612389,1.0
10,QMC-Sobol,5.1834896617873824e-05,6.565985070273669e-05,1.7634922337098948
15,MC,7.45781636474868e-05,8.1169711000637e-05,1.0
15,QMC-Sobol,5.0463265352258654e-05,5.136627924057262e-05,1.477870350380503
